prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	context_mask	chunk_summary	group_summary	section_summary
1		2	0	0	0	0	START	0	0		(for Installation on M1083 5-ton Truck and M1095 5-ton Trailer)	(for Installation on M1083 5-ton Truck and M1095 5-ton Trailer) WARNING - This document contains competition sensitive data and as such is intended solely for the use of Intelagard systems and their authorized representatives. REPRODUCTION & REDISTRIBUTION- Do not make copies of this document for any purpose other than to provide them to the operators of the Intelagard VMDS.
	Vehicle Modular Decontamination System	-1	0	0	0	0		0	1	Vehicle Modular Decontamination System		
	(VMDS)	-1	0	0	0	0		0	1	(VMDS)		
	“Version B” Prototype System	-1	0	0	0	0		0	1	“Version B” Prototype System		
	(for Installation on M1083 5-ton Truck and M1095 5-ton Trailer)	-1	0	0	0	0		0	0	(for Installation on M1083 5-ton Truck and M1095 5-ton Trailer)		
	OPERATOR'S MANUAL	-1	0	0	0	0		0	1	OPERATOR'S MANUAL		
	ELIN A004	-1	0	0	0	0		0	1	ELIN A004		
25	September 2019	2	0	0	0	0		0	1	September 2019		
	Modular, Vehicle Independent & Transportable Decontamination System	-1	1	0	0	0		0	1	Modular, Vehicle Independent & Transportable Decontamination System		
	WARNING - This document contains competition sensitive data and as such is intended solely for the use of Intelagard systems and their authorized representatives.	-1	2	0	0	0		0	0	WARNING - This document contains competition sensitive data and as such is intended solely for the use of Intelagard systems and their authorized representatives.	WARNING - This document contains competition sensitive data and as such is intended solely for the use of Intelagard systems and their authorized representatives. REPRODUCTION & REDISTRIBUTION- Do not make copies of this document for any purpose other than to provide them to the operators of the Intelagard VMDS.	
	REPRODUCTION & REDISTRIBUTION- Do not make copies of this document for any purpose other than to provide them to the operators of the Intelagard VMDS.	-1	2	0	0	0		0	0	REPRODUCTION & REDISTRIBUTION- Do not make copies of this document for any purpose other than to provide them to the operators of the Intelagard VMDS.		
	REVISION TRANSMITTAL PAGE	-1	3	1	0	0	REVISION TRANSMITTAL PAGE	2	0	REVISION TRANSMITTAL PAGE	04/03/2019 2.f Incorporation of modifications	04/03/2019 2.f Incorporation of modifications 05/07/2019 2.g Incorporation of modifications and lessons learned at Dugway testing 05/06/2019 2.h Incorporation of modifications 09/18/2019 2.l Incorporation of Government Comments
	DATE REV NO. DESCRIPTION OF CHANGE APPROVED BY	-1	3	1	0	0		2	1	DATE REV NO. DESCRIPTION OF CHANGE APPROVED BY		
	04/03/2019 2.f Incorporation of modifications	-1	3	1	0	0		2	0	04/03/2019 2.f Incorporation of modifications		
	05/07/2019 2.g Incorporation of modifications and lessons learned at Dugway testing	-1	4	1	0	0		2	0	05/07/2019 2.g Incorporation of modifications and lessons learned at Dugway testing	05/07/2019 2.g Incorporation of modifications and lessons learned at Dugway testing	
	05/06/2019 2.h Incorporation of modifications	-1	5	1	0	0		2	0	05/06/2019 2.h Incorporation of modifications	05/06/2019 2.h Incorporation of modifications	
