prefix	c0	content	size	face	marker	line	page	x0	y0	x1	y1	caption	mask	spacing	chunk	group	type	section	subsection	subsubsection	title	section_tag	image_url
	VMDS Technical and Operators Manual	VMDS Technical and Operators Manual ver 2019.2.l	9.960000038146973	0	-1	0	1	11.768627790064594	4.375376845851089	82.82171511182598	6.103285876187412	0	1	-99.0	0	0	0	0	0	0		0	
1			12.0	0	2	1	1	11.768627790064594	91.77726976799244	13.411765005074296	93.85909263533776	0	0	85.7	1	0	0	0	0	0	START	0	
	Vehicle Modular Decontamination System	Vehicle Modular Decontamination System	24.0	1	-1	2	1	14.533333373225593	10.793431599934896	87.40849713094873	14.990401027178525	0	0	-83.1	2	0	0	0	0	0		0	
	(VMDS)	(VMDS)	21.959999084472656	1	-1	3	1	43.517971662134904	14.304764102203679	57.39869261099622	18.144990940286657	0	0	-0.7	3	0	0	0	0	0		0	
	“Version B” Prototype System	“Version B” Prototype System	21.959999084472656	1	-1	4	1	26.591504165549683	17.50173472394847	74.32026083952461	21.34196156203145	0	0	-0.6	4	0	0	0	0	0		0	
	(for Installation on M1083 5-ton Truck and M1095 5-ton Trailer)	(for Installation on M1083 5-ton Truck and M1095 5-ton Trailer)	14.039999961853027	1	-1	5	1	17.65032624886706	20.803310895206955	81.84477363536561	23.258538679643113	0	0	-0.5	5	0	0	0	0	0		0	
	OPERATOR'S MANUAL	OPERATOR'S MANUAL	18.0	1	-1	6	1	33.45915102491192	24.811615606751108	67.29575263129341	27.959341954703284	0	0	1.6	6	0	0	0	0	0		0	
	ELIN A004	ELIN A004	18.0	1	-1	7	1	42.73365993125766	27.373737759060333	58.927124621821385	30.50328264332781	0	0	-0.6	7	0	0	0	0	0		0	
25	September 2019	September 2019	12.0	1	2	8	1	41.10621034709457	42.68813085074377	61.59575219247856	44.77449282251224	0	0	12.2	8	0	0	0	0	0		0	
	Modular, Vehicle Independent & Transportable	Modular, Vehicle Independent & Transportable	14.039999961853027	0	-1	9	1	28.179739659128625	74.03609921233823	72.40849912556169	76.40091867157908	0	0	29.3	9	1	1	0	0	0		0	
	Decontamination System	Decontamination System	14.039999961853027	0	-1	10	1	38.47875906751047	76.07018827187895	61.536911110472836	78.4350077311198	0	0	-0.3	9	1	1	0	0	0		0	
	<img0000>	<img0000>	-1.0	-1	-1	11	1	19.11764705882353	32.90164061266967	80.76797186159621	37.64898897421481	0	1	-45.5	10	2	0	0	0	0		0	
	WARNING - This document contains competition sensitive data and as such is intended solely for the use of Intelagard	WARNING - This document contains competition sensitive data and as such is intended solely for the use of Intelagard	8.039999961853027	1	-1	12	1	11.317647048850464	81.77490234375	85.55593054279004	83.17276155105745	0	0	44.1	11	3	1	0	0	0		0	
	systems and their authorized representatives.	systems and their authorized representatives.	8.039999961853027	1	-1	13	1	11.317647048850464	82.94156777738321	40.15769958496094	84.33942698469066	0	0	-0.2	11	3	1	0	0	0		0	
	REPRODUCTION & REDISTRIBUTION- Do not make copies of this document for any purpose other than to provide them	REPRODUCTION & REDISTRIBUTION- Do not make copies of this document for any purpose other than to provide them	8.039999961853027	1	-1	14	1	11.317647048850464	85.25974774601484	87.28011386846406	86.65760695332229	0	0	0.9	12	3	1	0	0	0		0	
	to the operators of the Intelagard VMDS.	to the operators of the Intelagard VMDS.	8.039999961853027	1	-1	15	1	11.317647048850464	86.42591225980509	36.667503406798915	87.82377146711254	0	0	-0.2	12	3	1	0	0	0		0	
	<img0001>	<img0001>	-1.0	-1	-1	16	1	26.633986928104576	46.323232939749055	72.96568427989686	71.89141475793087	0	1	-41.5	13	4	0	0	0	0		0	
	VMDS Technical and Operators Manual	VMDS Technical and Operators Manual ver 2019.2.l	9.960000038146973	0	-1	17	2	11.768627790064594	4.375376845851089	82.82171511182598	6.103285876187412	0	1	-67.5	14	4	0	-1	-1	-1	TOC	1	
2			12.0	0	2	18	2	11.768627790064594	91.77726976799244	13.411765005074296	93.85909263533776	0	0	85.7	15	4	0	-1	-1	-1		1	
	This page is intentionally left blank.	This page is intentionally left blank.	12.0	1	-1	19	2	35.0277769799326	37.37903941761364	65.48202614379085	39.47752750281132	0	0	-56.5	16	4	0	-1	-1	-1		1	
	VMDS Technical and Operators Manual	VMDS Technical and Operators Manual ver 2019.2.l	9.960000038146973	0	-1	20	3	11.768627790064594	4.375376845851089	82.82171511182598	6.103285876187412	0	1	-35.1	17	4	0	-1	-1	-1		1	
3			12.0	0	2	21	3	11.768627790064594	91.77726976799244	13.411765005074296	93.85909263533776	0	0	85.7	18	4	0	-1	-1	-1		1	
	TABLE OF CONTENTS	TABLE OF CONTENTS	14.039999961853027	1	-1	22	3	11.768627790064594	10.924524249452533	37.01307010027318	13.379752033888693	0	0	-82.9	19	4	0	-1	-1	-1		1	
	REVISION TRANSMITTAL PAGE ............................................................................................. 6	REVISION TRANSMITTAL PAGE ............................................................................................. 6	12.0	0	-1	23	3	11.768627790064594	17.149497523452297	88.58102038015727	19.170709089799363	0	0	3.8	20	4	0	-1	-1	-1		1	
	DISTRIBUTION............................................................................................................................. 6	DISTRIBUTION............................................................................................................................. 6	12.0	0	-1	24	3	11.768627790064594	19.528281086623068	88.58102038015727	21.549492652970134	0	0	0.4	21	5	1	-1	-1	-1		1	
	WARNING SUMMARY (GENERAL) ......................................................................................... 7	WARNING SUMMARY (GENERAL) ......................................................................................... 7	12.0	0	-1	25	3	11.768627790064594	21.891921457618174	88.58102038015727	23.91313302396524	0	0	0.3	21	5	1	-1	-1	-1		1	
	WARNING SUMMARY (SPECIFIC) ........................................................................................... 8	WARNING SUMMARY (SPECIFIC) ........................................................................................... 8	12.0	0	-1	26	3	11.768627790064594	24.270705020788945	88.58102038015727	26.29191658713601	0	0	0.4	22	6	0	-1	-1	-1		1	
	GENERAL OVERVIEW .............................................................................................................. 11	GENERAL OVERVIEW .............................................................................................................. 11	12.0	0	-1	27	3	11.768627790064594	26.64949629041884	88.58102038015727	28.670707856765905	0	0	0.4	23	7	1	-1	-1	-1		1	
	VMDS QUICK START PROCEDURE ....................................................................................... 12	VMDS QUICK START PROCEDURE ....................................................................................... 12	12.0	0	-1	28	3	11.768627790064594	29.013128954954823	88.58102038015727	31.03434052130189	0	0	0.3	23	7	1	-1	-1	-1		1	
1.0	VMDS MAJOR SYSTEM COMPONENTS AND DESCRIPTION ..................................... 14	VMDS MAJOR SYSTEM COMPONENTS AND DESCRIPTION ..................................... 14	12.0	0	0	29	3	11.768627790064594	31.39570409601385	88.58102038015727	33.4169175889757	0	0	0.4	24	8	0	-1	-1	-1		1	
1.1	VMDS PART AND SERIAL NUMBERS ......................................................................... 14	VMDS PART AND SERIAL NUMBERS ......................................................................... 14	12.0	0	0	30	3	13.729412103790084	33.77449729225852	88.58102038015727	35.795708858605586	0	0	0.4	25	8	0	-1	-1	-1		1	
1.2	VMDS KEY COMPONENTS:........................................................................................... 16	VMDS KEY COMPONENTS:........................................................................................... 16	12.0	0	0	31	3	13.729412103790084	36.13813381002407	88.58102038015727	38.159345376371135	0	0	0.3	26	8	0	-1	-1	-1		1	
1.2.1	Power Unit ................................................................................................................... 16	Power Unit ................................................................................................................... 16	12.0	0	0	32	3	15.690196417515574	38.5169212264244	88.58102038015727	40.53813279277147	0	0	0.4	27	8	0	-1	-1	-1		1	
	1.2.2 750 Gallon Tank .......................................................................................................... 18	1.2.2 750 Gallon Tank .......................................................................................................... 18	12.0	0	-1	33	3	15.690196417515574	40.89570864282474	88.58102038015727	42.9169202091718	0	0	0.4	28	9	1	-1	-1	-1		1	
1.2.3	Hose Kit ....................................................................................................................... 21	Hose Kit ....................................................................................................................... 21	12.0	0	0	34	3	15.690196417515574	43.25934516059028	88.58102038015727	45.28055672693735	0	0	0.3	29	10	0	-1	-1	-1		1	
1.2.4	Monitor, Stanchion and Wired Remote-Control Box .................................................. 22	Monitor, Stanchion and Wired Remote-Control Box .................................................. 22	12.0	0	0	35	3	15.690196417515574	45.638132576990614	88.58102038015727	47.65934414333768	0	0	0.4	30	10	0	-1	-1	-1		1	
1.2.5	Front Spray Bar (FSB) ................................................................................................. 24	Front Spray Bar (FSB) ................................................................................................. 24	12.0	0	0	36	3	15.690196417515574	48.001769094756156	88.58102038015727	50.022980661103226	0	0	0.3	31	10	0	-1	-1	-1		1	
1.2.6	Rear Spray Bar (RSB) .................................................................................................. 25	Rear Spray Bar (RSB) .................................................................................................. 25	12.0	0	0	37	3	15.690196417515574	50.38055651115649	88.58102038015727	52.401768077503554	0	0	0.4	32	10	0	-1	-1	-1		1	
1.2.7	De-Icer Kit/Accessory Box .......................................................................................... 25	De-Icer Kit/Accessory Box .......................................................................................... 25	12.0	0	0	38	3	15.690196417515574	52.75934392755682	88.58102038015727	54.78055549390388	0	0	0.4	33	10	0	-1	-1	-1		1	
1.2.8	Fuel Container and Gauge ........................................................................................... 26	Fuel Container and Gauge ........................................................................................... 26	12.0	0	0	39	3	15.690196417515574	55.12550816391454	88.58102038015727	57.1467197302616	0	0	0.3	34	10	0	-1	-1	-1		1	
2.0	LOCATION AND DESCRIPTION OF OPERATOR CONTROLS AND INDICATORS .. 27	LOCATION AND DESCRIPTION OF OPERATOR CONTROLS AND INDICATORS .. 27	12.0	0	0	40	3	11.768627790064594	57.504295580314874	88.58102038015727	59.52550714666194	0	0	0.4	35	10	0	-1	-1	-1		1	
2.1	SELECTOR VALVES – OPERATIONAL SETTINGS .................................................... 35	SELECTOR VALVES – OPERATIONAL SETTINGS .................................................... 35	12.0	0	0	41	3	13.729412103790084	59.8830829967152	88.58102038015727	61.904294563062265	0	0	0.4	36	10	0	-1	-1	-1		1	
2.2	PROGRAMMABLE LOGIC CONTROL .......................................................................... 36	PROGRAMMABLE LOGIC CONTROL .......................................................................... 36	12.0	0	0	42	3	13.729412103790084	62.24671951448075	88.58102038015727	64.26793108082781	0	0	0.3	37	10	0	-1	-1	-1		1	
3.0	TANKS ................................................................................................................................... 37	TANKS ................................................................................................................................... 37	12.0	0	0	43	3	11.768627790064594	64.62550307765152	88.58102038015727	66.64671464399858	0	0	0.4	38	10	0	-1	-1	-1		1	
