span	size	face	marker	line	page
VMDS Technical and Operators Manual	9.960000038146973	0	-1	0	1
ver 2019.2.l	9.960000038146973	0	-1	0	1
1	12.0	0	2	1	1
Vehicle Modular Decontamination System	24.0	1	-1	2	1
(VMDS)	21.959999084472656	1	-1	3	1
“Version B” Prototype System	21.959999084472656	1	-1	4	1
(for Installation on M1083 5-ton Truck and M1095 5-ton Trailer)	14.039999961853027	1	-1	5	1
OPERATOR'S MANUAL	18.0	1	-1	6	1
ELIN A004	18.0	1	-1	7	1
25	12.0	1	2	8	1
September 2019	12.0	1	-1	8	1
Modular, Vehicle Independent & Transportable	14.039999961853027	0	-1	9	1
Decontamination System	14.039999961853027	0	-1	10	1
<img0000>	-1.0	-1	-1	11	1
WARNING - This document contains competition sensitive data and as such is intended solely for the use of Intelagard	8.039999961853027	1	-1	12	1
systems and their authorized representatives.	8.039999961853027	1	-1	13	1
REPRODUCTION & REDISTRIBUTION- Do not make copies of this document for any purpose other than to provide them	8.039999961853027	1	-1	14	1
to the operators of the Intelagard VMDS.	8.039999961853027	1	-1	15	1
<img0001>	-1.0	-1	-1	16	1
VMDS Technical and Operators Manual	9.960000038146973	0	-1	17	2
ver 2019.2.l	9.960000038146973	0	-1	17	2
2	12.0	0	2	18	2
This page is intentionally left blank.	12.0	1	-1	19	2
VMDS Technical and Operators Manual	9.960000038146973	0	-1	20	3
ver 2019.2.l	9.960000038146973	0	-1	20	3
3	12.0	0	2	21	3
TABLE OF CONTENTS	14.039999961853027	1	-1	22	3
REVISION TRANSMITTAL PAGE ............................................................................................. 6	12.0	0	-1	23	3
DISTRIBUTION............................................................................................................................. 6	12.0	0	-1	24	3
WARNING SUMMARY (GENERAL) ......................................................................................... 7	12.0	0	-1	25	3
WARNING SUMMARY (SPECIFIC) ........................................................................................... 8	12.0	0	-1	26	3
GENERAL OVERVIEW .............................................................................................................. 11	12.0	0	-1	27	3
VMDS QUICK START PROCEDURE ....................................................................................... 12	12.0	0	-1	28	3
1.0	12.0	0	0	29	3
VMDS MAJOR SYSTEM COMPONENTS AND DESCRIPTION ..................................... 14	12.0	0	-1	29	3
1.1	12.0	0	0	30	3
VMDS PART AND SERIAL NUMBERS ......................................................................... 14	12.0	0	-1	30	3
1.2	12.0	0	0	31	3
VMDS KEY COMPONENTS:........................................................................................... 16	12.0	0	-1	31	3
1.2.1	12.0	0	0	32	3
Power Unit ................................................................................................................... 16	12.0	0	-1	32	3
1.2.2 750 Gallon Tank .......................................................................................................... 18	12.0	0	-1	33	3
1.2.3	12.0	0	0	34	3
Hose Kit ....................................................................................................................... 21	12.0	0	-1	34	3
1.2.4	12.0	0	0	35	3
Monitor, Stanchion and Wired Remote-Control Box .................................................. 22	12.0	0	-1	35	3
1.2.5	12.0	0	0	36	3
Front Spray Bar (FSB) ................................................................................................. 24	12.0	0	-1	36	3
1.2.6	12.0	0	0	37	3
Rear Spray Bar (RSB) .................................................................................................. 25	12.0	0	-1	37	3
1.2.7	12.0	0	0	38	3
De-Icer Kit/Accessory Box .......................................................................................... 25	12.0	0	-1	38	3
1.2.8	12.0	0	0	39	3
Fuel Container and Gauge ........................................................................................... 26	12.0	0	-1	39	3
2.0	12.0	0	0	40	3
LOCATION AND DESCRIPTION OF OPERATOR CONTROLS AND INDICATORS .. 27	12.0	0	-1	40	3
2.1	12.0	0	0	41	3
SELECTOR VALVES – OPERATIONAL SETTINGS .................................................... 35	12.0	0	-1	41	3
2.2	12.0	0	0	42	3
PROGRAMMABLE LOGIC CONTROL .......................................................................... 36	12.0	0	-1	42	3
3.0	12.0	0	0	43	3
TANKS ................................................................................................................................... 37	12.0	0	-1	43	3
3.1	12.0	0	0	44	3
TANK SELECTOR VALVE ASSEMBLY ....................................................................... 38	12.0	0	-1	44	3
3.2	12.0	0	0	45	3
AGITATOR ........................................................................................................................ 39	12.0	0	-1	45	3
3.3	12.0	0	0	46	3
HOPPER/BLENDER .......................................................................................................... 39	12.0	0	-1	46	3
3.4	12.0	0	0	47	3
DE-ICER KIT ..................................................................................................................... 40	12.0	0	-1	47	3
4.0	12.0	0	0	48	3
DESCRIPTION OF NOZZLES – FUNCTIONS & USE ...................................................... 42	12.0	0	-1	48	3
5.0	12.0	0	0	49	3
